exac_id,name,permanent
amnhc_5000001,What America is Doing for Western Asia and North Africa through the Syrian Protestant College,FALSE
amnhc_5000002,Illustrating the Cotton-Boll Weevil,FALSE
amnhc_5000003,Educational exhibit (No. 207),FALSE
amnhc_5000004,Fire-making Exhibit,FALSE
amnhc_5000005,Museum Art and Methods,FALSE
amnhc_5000006,The Evolution of the Horse: Sysonby,FALSE
amnhc_5000007,Congestion of Population in New York City,FALSE
amnhc_5000008,Spring and Fall Exhibitions of Horticultural Society of New York ,FALSE
amnhc_5000009,International Tuberculosis Exhibit,FALSE
amnhc_5000010,Peary Arctic club,FALSE
amnhc_5000011,Peary lecture ,FALSE
amnhc_5000012,The American Museum and the Public Health,FALSE
amnhc_5000013,Aquarium Society Annual Exhibition,FALSE
amnhc_5000014,Indians of the Southwest,FALSE
amnhc_5000015,Leonard M. Davis Paintings - Alaska Scenes,FALSE
amnhc_5000016,Horticultural Exhibition,FALSE
amnhc_5000017,"Observatory at Flagstaff, Arizona ",FALSE
amnhc_5000018,North American Indians ,FALSE
amnhc_5000019,Our Common Home Birds ,FALSE
amnhc_5000020,Dahlias,FALSE
amnhc_5000021,Birds in Shakespeare's Plays,FALSE
amnhc_5000022,Charles Robert Knight – Animal Models and Paintings,FALSE
amnhc_5000023,F. W. Stokes Paintings - Arctic and Antarctic Scenes  ,FALSE
amnhc_5000024,Crocker Land exhibit,FALSE
amnhc_5000025,Flower show,FALSE
amnhc_5000026,Food,FALSE
amnhc_5000027,William de la Montagne Cary Paintings,FALSE
amnhc_5000028,Keramic Society of New York - Pottery and Porcelain,FALSE
amnhc_5000029,Military Hygiene,FALSE
amnhc_5000030,Fisher wildflower lecture ,FALSE
amnhc_5000031,Horticultural Society of New York,FALSE
amnhc_5000032,Industrial Art; Textile and Costume,FALSE
amnhc_5000033,Whaling collection,FALSE
amnhc_5000034,Flower and vegetable show of the public schools of greater New York,FALSE
amnhc_5000035,Stetson Hat,FALSE
amnhc_5000036,Tropical Animal Life: Paintings by Isabelle Cooper,FALSE
amnhc_5000037,Camera Club,FALSE
amnhc_5000038,Hunting with the Camera,FALSE
amnhc_5000039,"Midwinter flower show at P.S. 18, Manhattan",FALSE
amnhc_5000040,Asbestus,FALSE
amnhc_5000041,Art Work of Mr. E. W. Deming,FALSE
amnhc_5000042,Basket Work by an Institutional Class,FALSE
amnhc_5000043,Francisco Gonzales Gamarra and His Art,FALSE
amnhc_5000044,Keramic Society of Greater New York,FALSE
amnhc_5000045,Pasteur Centenary Exhibition,FALSE
amnhc_5000046,A. Hyatt Verrill: Explorer and Artist,FALSE
amnhc_5000047,New York Silver Jubilee Celebration at Grand Central Palace (AMNH’s exhibit),FALSE
amnhc_5000048,The Harrison Williams Galapagos Expedition,FALSE
amnhc_5000049,Early Navigating instruments,FALSE
amnhc_5000050,"Horticultural Society of New York, Fall exhibit",FALSE
amnhc_5000051,Chromosphere of the Sun Paintings by Howard Russel Butler,FALSE
amnhc_5000052,Vanishing India: Stowitt’s paintings,FALSE
amnhc_5000053,"Taxidermic exhibition, First international",FALSE
amnhc_5000054,Lindbergh plane,FALSE
amnhc_5000055,Flowers and fruits of Panama,FALSE
amnhc_5000056,Whiteface mountain model,FALSE
amnhc_5000057,Swordfish exhibit,FALSE
amnhc_5000058,The-Bridge-that-Walks,FALSE
amnhc_5000059,Russian Easter Eggs,FALSE
amnhc_5000060,Christmas: Tree in Foyer,FALSE
amnhc_5000061,Fishhooks and flies,FALSE
amnhc_5000062,Ancient and primitive art from the Museum collections,FALSE
,Hayden Planetarium and New York World's Fair 1939,FALSE
amnhc_5000063,Department of Animal Behavior,FALSE
amnhc_5000064,"Science Fair, High School",FALSE
amnhc_5000065,Exhibit at the Sportsmen’s Show,FALSE
amnhc_5000066,Conservation exhibit: record moose head,FALSE
amnhc_5000067,What Animals See and How,FALSE
amnhc_5000068,"Creighton, Helen: Carved caricatures ",FALSE
amnhc_5000069,Children of Scandinavia,FALSE
amnhc_5000070,Temporary Exhibits: Unidentified,FALSE
amnhc_5000071,Peoples of the Pacific,FALSE
amnhc_5000072,Animals and war,FALSE
amnhc_5000073,"Goethe, Joseph: Wood Carvings ",FALSE
amnhc_5000074,Bolivian exhibit (Miss Sordillo in Bolivian dress),FALSE
amnhc_5000075,"Hunt, Lynn Bogue: Paintings ",FALSE
amnhc_5000076,Spotlight on Insects,FALSE
amnhc_5000077,Birds from Noah to now,FALSE
amnhc_5000078,Jonas Animals,FALSE
amnhc_5000079,[Penguins] Temporary exhibit in Whitney Bird Hall,FALSE
amnhc_5000080,Peruvian costume exhibit,FALSE
amnhc_5000081,Spotlight exhibit,FALSE
amnhc_5000082,Surrealism and the salamander,FALSE
amnhc_5000083,Thoreau Society ,FALSE
amnhc_5000084,Variations on a theme,FALSE
amnhc_5000085,The Internationally Famous Collection of Dr. Claude H. Barlow’s Pictorial Jasper Stones,FALSE
amnhc_5000086,Burke collection: Solomon Islands material,FALSE
amnhc_5000087,Christmas: Animals in Snow,FALSE
,Life Magazine Photographs of Incan Ruins,FALSE
amnhc_5000088,Masks and Men,FALSE
amnhc_5000089,Native carvings exhibit in windows of Helena Rubinstein,FALSE
amnhc_5000090,"Skum, Nils N. Drawings",FALSE
amnhc_5000091,Wildflowers to garden,FALSE
amnhc_5000093,Native carvings,FALSE
amnhc_5000094,Atomic energy,FALSE
amnhc_5000095,High Speed Photography of Animals,FALSE
,Portrayal of Pre-War Okinawan Culture,FALSE
amnhc_5000096,Christmas: Animals' Christmas Dinner,FALSE
amnhc_5000097,"Christmas: Gold, Frankincense & Myrrh",FALSE
amnhc_5000098,From the neck up,FALSE
amnhc_5000099,Goddard rocket exhibit,FALSE
amnhc_5000100,Golden Jubilee,FALSE
amnhc_5000101,Man’s giant ancestors,FALSE
amnhc_5000102,Morden African expedition,FALSE
amnhc_5000103,"Pendulum in Roosevelt Foyer, Installing (missing)",FALSE
amnhc_5000104,Why don’t we live like Indians?,FALSE
amnhc_5000105,"Turkana, Arts and Crafts",FALSE
amnhc_5000106,Coastal Surveys,FALSE
amnhc_5000107,Portraits from Palestine to Tibet,FALSE
amnhc_5000108,Boone & Crockett Club Big Game Competition Winners,FALSE
amnhc_5000109,Across the Pacific ?,FALSE
amnhc_5000110,Bird Carvings by Charles Greenough Chase,FALSE
amnhc_5000111,The Three Bears' Christmas,FALSE
amnhc_5000112,Nature's Deep Freeze,FALSE
amnhc_5000113,Paracas Mummy Exhibit,FALSE
amnhc_5000114,"Perrin, Mrs. Moberly: Exhibit of pastel portraits",FALSE
amnhc_5000115,"Pearl S. Schechter, Jewelry Designs",FALSE
amnhc_5000116,Star Ruby from Ceylon,FALSE
amnhc_5000117,"Ekholm, Gordon F. “Is American Indian culture Asiatic?” article in Natural History magazine, Oct. 1950",FALSE
amnhc_5000118,Ladies Garment workers of the past,FALSE
amnhc_5000119,Lerner African Expedition,FALSE
amnhc_5000120,Moths of tropic America,FALSE
amnhc_5000121,Ylla - Animal Photos,FALSE
amnhc_5000122, Morse Memorial Exhibition of Arts and Sciences,FALSE
amnhc_5000123,Silver and Gold with Stones,FALSE
amnhc_5000124,Gem of Fire (Titanium),FALSE
amnhc_5000125,Titanium: Gem of Fire,FALSE
amnhc_5000126,Masks of Southeast Asia,FALSE
amnhc_5000127,Men of the Montana; a story of life in the Peruvian rainforest,FALSE
amnhc_5000128,Army ants from the tropics,FALSE
amnhc_5000129,Easter spotlight,FALSE
amnhc_5000130,How reptiles control their temperature,FALSE
amnhc_5000131,Casts of Maya Heads,FALSE
amnhc_5000132,Sportsmen’s show,FALSE
amnhc_5000133,Columbia Bicentennial exhibit,FALSE
amnhc_5000134,How Exhibits Are Made,FALSE
amnhc_5000135,Transparent Woman,FALSE
amnhc_5000136,West African Mouthbreeding Fish,FALSE
amnhc_5000137,Special Events,FALSE
amnhc_5000138,The Camera at the Museum,FALSE
amnhc_5000139,Know Your Dog,FALSE
amnhc_5000140,"Cold hands, cold feet",FALSE
amnhc_5000141,To make and to know how,FALSE
amnhc_5000142,Bower birds,FALSE
amnhc_5000143,Coelacanth,FALSE
