exac_id,name
amnhc_2000001,(Bahamas 1887)
amnhc_2000002,Elliott-Richardson Expedition to Montana
amnhc_2000003,Richardson Expedition to Maine
amnhc_2000004,Richardson-Rowley Expedition to Indian Territory of Panhandle of Texas
amnhc_2000005,E. A. Mearns Arizona Expedition
amnhc_2000006,Southern Mexico Expedition
amnhc_2000007,British Columbia Expedition.
amnhc_2000008,Chapman Expeditions to Florida
amnhc_2000009,W.E.D. Scott Expedition to Florida
amnhc_2000010,Lumholtz Expeditions
amnhc_2000011,Wortman Expeditions
amnhc_2000012,Explore21 Expedition to Papua New Guinea.
amnhc_2000013,Chapman Field Trip to Texas
amnhc_2000014,Illustrated American Expedition
amnhc_2000015,Richardson Expedition to Florida
amnhc_2000016,Mearns Expedition to Minnesota
amnhc_2000017,Henry Villard Scientific Expedition to Peru and Bolivia.
amnhc_2000018,Rocky Mountains Expedition II
amnhc_2000019,Chapman Expedition to Cuba
amnhc_2000020,Wortman Expedition to Rocky Mountains
amnhc_2000021,Trinidad Expeditions
amnhc_2000022,New Brunswick Expedition
amnhc_2000023,Boas Expedition to Northwest Territories
amnhc_2000024,Honduras Expedition
amnhc_2000025,Weber Expedition to Sumatra
amnhc_2000026,Wortman Paleontological Expeditions. 
amnhc_2000027,Peary Relief Expedition to Arctic
amnhc_2000028,Bone Cabin Quarry
amnhc_2000029,Hyde Expeditions
amnhc_2000030,Volk Expedition
amnhc_2000031,Saville Mexican Expedition
amnhc_2000032,Chapman Expedition to Yucatan
amnhc_2000033,Peary Expedition
amnhc_2000036,Chapman Expedition to Mexico
amnhc_2000037,Hovey Geological Expedition
amnhc_2000038,Jesup North Pacific Expedition
amnhc_2000039,Patagonian Expedition
amnhc_2000040,Jesup Arapaho Expedition
amnhc_2000041,Huntington Expedition to California
amnhc_2000042,Colombian Expedition
amnhc_2000043,Central American Expedition
amnhc_2000044,Vertebrate Paleontology Expeditions
amnhc_2000045,Villard Expedition to Oregon
amnhc_2000046,Anthropology Expeditions
amnhc_2000047,Expeditions from Department of Mammalogy and Ornithology
amnhc_2000048,Andrew J. Stone Expedition
amnhc_2000049,China Expedition
amnhc_2000050,Whitney Expedition
amnhc_2000051,Batty Expedition to Mexico
amnhc_2000052,Puerto Rico Expedition
amnhc_2000053,Chapman Expeditions
amnhc_2000054,Invertebrate Palaeontology Expedition
amnhc_2000055,Vertebrate Palaeontology Expeditions
amnhc_2000056,South Pacific Expedition
amnhc_2000057,Ornithology Expedition
amnhc_2000058,Florissant Expedition
amnhc_2000059,"Expedition to the Desert of Fayoum, Egypt"
amnhc_2000060,Vertebrate Palaeontology Expedition
amnhc_2000061,Vertebrate Palaeontology Expedition
amnhc_2000062,Field Trip to Canada
amnhc_2000063,Alaskan Mammoth Expedition
amnhc_2000064,Andrews Alaskan Expedition
amnhc_2000065,Expedition to Texas
amnhc_2000066,Korean Expedition
amnhc_2000067,Lesser Antilles Expedition
amnhc_2000068,New Zealand Expedition
amnhc_2000069,Phlippine Expedition
amnhc_2000070,Tahiti Expedition
amnhc_2000071,Wyoming Expedition
amnhc_2000072,Expedition to Nicaragua
amnhc_2000073,Hudson Bay Expedition
amnhc_2000074,Stefansson-Anderson Arctic Expedition
amnhc_2000075,Bahamas Expedition
amnhc_2000076,Andrews Canadian Field Trip
amnhc_2000077,Ashokan Field Trip
amnhc_2000078,Long Island Expedition
amnhc_2000079,North Carolina Expedition
amnhc_2000080,Philippine Expedition
amnhc_2000081,Puget Sound Expedition
amnhc_2000082,Vertebrate Palaeontology Expedition
amnhc_2000083,Fabbri Expedition to Florida
amnhc_2000084,Akeley Expedition to British East Africa
amnhc_2000085,Carriker Venezuelan Expedition
amnhc_2000086,American Museum Congo Expedition
amnhc_2000087,Petrunkevitch Expedition
amnhc_2000088,Woods Hole Expedition
amnhc_2000089,Expedition to Vineyard Haven
amnhc_2000090,Japanese Whaling Expedition
amnhc_2000091,Vertebrate Palaeontology Expedition
amnhc_2000092,Richardson Colombian Expedition
amnhc_2000093,Chapman Mexican Expedition
amnhc_2000094,Mississippi Expedition
amnhc_2000095,Canadian Indian Study Expedition
amnhc_2000096,Chapman Colombian Expedition
amnhc_2000097,Ohio Expedition
amnhc_2000098,Vertebrate Palaentology Expeditions
amnhc_2000099,West Indies Expedition
